name,scientific,image
Yellow-streaked Greenbul,Phyllastrephus flavostriatus,N/A
Yellow-throated Leaflove,Atimastillas flavicollis,N/A
Cabanis's Bunting,Emberiza cabanisi,N/A
Cape Bunting,Emberiza capensis,https://birda.twic.pics/species/c17c5221-5168-41b2-81aa-ab250258f9c5/reference_images/Cape_Bunting.jpg
Cinnamon-breasted Bunting,Emberiza tahapisi,https://birda.twic.pics/species/3e9fb780-95d8-4d96-ac30-bd51ddcf9930/reference_images/Cinnamon-breasted_Bunting-_Male.jpg
Golden-breasted Bunting,Emberiza flaviventris,https://birda.twic.pics/species/8c881ab9-7e2f-4901-8042-6fcc0f35d6a9/reference_images/Golden-breasted_Bunting-_Male.jpg
Lark-like Bunting,Emberiza impetuani,https://birda.twic.pics/species/407f14c4-60fe-48d5-940f-9c3a60baacf6/reference_images/Lark-like_Bunting.jpg
Ortolan Bunting,Emberiza hortulana,https://birda.twic.pics/species/67578d1c-d805-4d0c-b2ee-489d5da069ea/reference_images/Ortolan_Bunting.jpg
Black-backed Puffback,Dryoscopus cubla,https://birda.twic.pics/species/9effc54b-da00-49c7-98c4-950eb913e4ec/reference_images/Black-backed_Puffback-_Male.jpg
Black-crowned Tchagra,Tchagra senegalus,https://birda.twic.pics/species/b8a37a85-3448-4e1d-b0ed-ca5bc70422f2/reference_images/Black-crowned_Tchagra.jpg
Black-fronted Bushshrike,Chlorophoneus nigrifrons,N/A
Bokmakierie,Telophorus zeylonus,https://birda.twic.pics/species/235ce9a9-a02f-4c2d-8613-c615ce76274f/reference_images/Bokmakierie.jpg
Brown-crowned Tchagra,Tchagra australis,https://birda.twic.pics/species/bdc13101-16d2-41cd-9483-a31c565bbe2f/reference_images/Brown-crowned_Tchagra.jpg
Brubru,Nilaus afer,https://birda.twic.pics/species/c3aa196f-0270-47c3-8340-0eda123192f4/reference_images/Brubru-_Male.jpg
Crimson-breasted Shrike,Laniarius atrococcineus,https://birda.twic.pics/species/0120948f-2302-4d43-bb6c-f3b88dd34868/reference_images/Crimson-breasted_Shrike.jpg
Gorgeous Bushshrike,Telophorus viridis,N/A
