common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors	common_name	scientific_name	afrikaans_name	image	audio	family	size	habitat	colors
African Harrier- Hawk	Polyboroides typus	Kaalwangvalk	https://cdn.sabirds.app/african-hawk-eagle/1_medium.webp	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1039698-20250909_HB_AK_A050C005_250909RA_CXA60_SLE_250HzHP_-3dBNORM_Hawk-only.mp3	Hawks	Large	Forest	['Brown', 'White', 'Black']	African Harrier- Hawk	Polyboroides typus	Kaalwangvalk	https://cdn.sabirds.app/african-hawk-eagle/1_medium.webp	https://xeno-canto.org/sounds/uploaded/YSGTQVRQZI/XC1039698-20250909_HB_AK_A050C005_250909RA_CXA60_SLE_250HzHP_-3dBNORM_Hawk-only.mp3	Hawks	Large	Forest	['Brown', 'White', 'Black']
African Hawk Eagle	Aquila spilogaster	Grootjagarend	https://cdn.sabirds.app/african-hobby/1_medium.webp	https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC267752-African%20Hawk-Eagle2015-1-1-1.mp3	Eagles	Very Large	Grassland	['Brown', 'White', 'Black']	African Hawk Eagle	Aquila spilogaster	Grootjagarend	https://cdn.sabirds.app/african-hobby/1_medium.webp	https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC267752-African%20Hawk-Eagle2015-1-1-1.mp3	Eagles	Very Large	Grassland	['Brown', 'White', 'Black']
African Hobby	Falco cuvierii	Afrikaanse Boomvalk	https://birda.twic.pics/species/120bca99-014f-4fbc-bfea-277e8c981785/reference_images/African_Hobby.jpg	https://xeno-canto.org/sounds/uploaded/HHXEHTNZKV/XC710685-Faucon%20de%20cuvier%20cris.mp3	Falcons	Medium	Woodland	['Grey', 'Brown', 'White']	African Hobby	Falco cuvierii	Afrikaanse Boomvalk	https://birda.twic.pics/species/120bca99-014f-4fbc-bfea-277e8c981785/reference_images/African_Hobby.jpg	https://xeno-canto.org/sounds/uploaded/HHXEHTNZKV/XC710685-Faucon%20de%20cuvier%20cris.mp3	Falcons	Medium	Woodland	['Grey', 'Brown', 'White']
African Hoopoe	Upupa africana	Hoephoep	https://birda.twic.pics/species/d476e29f-c220-437d-879f-9dcec3dbea07/reference_images/African_Hoopoe.jpg	#N/A	Hoopoes	Medium	Savanna	['Chestnut', 'Black', 'White']	African Hoopoe	Upupa africana	Hoephoep	https://birda.twic.pics/species/d476e29f-c220-437d-879f-9dcec3dbea07/reference_images/African_Hoopoe.jpg	#N/A	Hoopoes	Medium	Savanna	['Chestnut', 'Black', 'White']
African Jacana	Actophilornis africanus	Grootlangtoon	https://birda.twic.pics/species/0fef9c21-f231-4c6a-9cec-b3930a0b6fdc/reference_images/African_Jacana.jpg	https://xeno-canto.org/sounds/uploaded/GHCWCWHIXT/XC1068539-20250710_KNP_LakePanic_KFaller_A036C118_2507106E_CANON_norm-3dB_jacana_fisheagle_blacksmithlapwing.mp3	Jacanas	Medium	Wetland	['Brown', 'White', 'Blue']	African Jacana	Actophilornis africanus	Grootlangtoon	https://birda.twic.pics/species/0fef9c21-f231-4c6a-9cec-b3930a0b6fdc/reference_images/African_Jacana.jpg	https://xeno-canto.org/sounds/uploaded/GHCWCWHIXT/XC1068539-20250710_KNP_LakePanic_KFaller_A036C118_2507106E_CANON_norm-3dB_jacana_fisheagle_blacksmithlapwing.mp3	Jacanas	Medium	Wetland	['Brown', 'White', 'Blue']
African Marsh Harrier	Circus ranivorus	Afrikaanse Vleivalk(Paddavreter)	https://cdn.sabirds.app/african-mourning-dove/1_medium.webp	https://xeno-canto.org/sounds/uploaded/SGLTZLDXYI/XC433948-african%20marsh%20harrier%20calling%20XC.mp3	Harriers	Large	Wetland	['Brown', 'Buff']	African Marsh Harrier	Circus ranivorus	Afrikaanse Vleivalk(Paddavreter)	https://cdn.sabirds.app/african-mourning-dove/1_medium.webp	https://xeno-canto.org/sounds/uploaded/SGLTZLDXYI/XC433948-african%20marsh%20harrier%20calling%20XC.mp3	Harriers	Large	Wetland	['Brown', 'Buff']
African Mourning Dove	Streptopelia decipiens	Rooioogtortelduif	https://cdn.sabirds.app/african-olive-pigeon/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC740014-LS_51104%20Mourning%20Dove%20call%20A.mp3	Doves	Medium	Fynbos	['Grey', 'Brown', 'Pink']	African Mourning Dove	Streptopelia decipiens	Rooioogtortelduif	https://cdn.sabirds.app/african-olive-pigeon/1_medium.webp	https://xeno-canto.org/sounds/uploaded/OOECIWCSWV/XC740014-LS_51104%20Mourning%20Dove%20call%20A.mp3	Doves	Medium	Fynbos	['Grey', 'Brown', 'Pink']
African Olive Pigeon	Columba arquatrix	Geelbekbosduif	https://birda.twic.pics/species/88cc3a37-7f55-443d-9ecd-0fbaa8be8a86/reference_images/African_Olive_Pigeon_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC646371-African%20Olive%20Pigeon%20-%20C.%20arquatrix%20-%20Song%20-%20LG.mp3	Pigeons	Large	Forest	['Grey', 'Purple', 'Yellow']	African Olive Pigeon	Columba arquatrix	Geelbekbosduif	https://birda.twic.pics/species/88cc3a37-7f55-443d-9ecd-0fbaa8be8a86/reference_images/African_Olive_Pigeon_-_Adult.jpg	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC646371-African%20Olive%20Pigeon%20-%20C.%20arquatrix%20-%20Song%20-%20LG.mp3	Pigeons	Large	Forest	['Grey', 'Purple', 'Yellow']
African Openbill	Anastomus lamelligerus	Oopbekooievaar	https://birda.twic.pics/species/cc3849a1-56bd-483e-bcdd-8da80ed9a8c9/reference_images/African_Openbill.jpg	https://xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/Openbill%20chicks%20on%20nest%20MA%20MFU%204-07.mp3	Storks	Very Large	Wetland	['Black', 'Brown']	African Openbill	Anastomus lamelligerus	Oopbekooievaar	https://birda.twic.pics/species/cc3849a1-56bd-483e-bcdd-8da80ed9a8c9/reference_images/African_Openbill.jpg	https://xeno-canto.org/sounds/uploaded/DNKBTPCMSQ/Openbill%20chicks%20on%20nest%20MA%20MFU%204-07.mp3	Storks	Very Large	Wetland	['Black', 'Brown']
African Oystercatcher	Haematopus moquini	Swarttobie	https://birda.twic.pics/species/9ac86bc3-c89c-4d72-aee2-650720b2490c/reference_images/African_Oystercatcher.jpg	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC615683-African%20Oystercatcher%20-%20H.%20moquini%20-%20Flight%20call%20-%20CH%20-%20Sandwhich%20harbor%20Namibia%201960s.mp3	Oystercatchers	Large	Coastal	['Black', 'White', 'Orange']	African Oystercatcher	Haematopus moquini	Swarttobie	https://birda.twic.pics/species/9ac86bc3-c89c-4d72-aee2-650720b2490c/reference_images/African_Oystercatcher.jpg	https://xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/XC615683-African%20Oystercatcher%20-%20H.%20moquini%20-%20Flight%20call%20-%20CH%20-%20Sandwhich%20harbor%20Namibia%201960s.mp3	Oystercatchers	Large	Coastal	['Black', 'White', 'Orange']
