common_name,scientific_name,family
Shy Albatross,Thalassarche cauta,Diomedeidae (Albatrosses)
White-capped Albatross,Thalassarche steadi,Diomedeidae (Albatrosses)
Salvin's Albatross,Thalassarche salvini,Diomedeidae (Albatrosses)
Northern Giant Petrel,Macronectes halli,"Procellariidae (Petrels, Shearwaters)"
Southern Giant Petrel,Macronectes giganteus,"Procellariidae (Petrels, Shearwaters)"
Southern Fulmar,Fulmarus glacialoides,"Procellariidae (Petrels, Shearwaters)"
Cape Petrel,Daption capense,"Procellariidae (Petrels, Shearwaters)"
Blue Petrel,Halobaena caerulea,"Procellariidae (Petrels, Shearwaters)"
Broad-billed Prion,Pachyptila vittata,"Procellariidae (Petrels, Shearwaters)"
Salvin's Prion,Pachyptila salvini,"Procellariidae (Petrels, Shearwaters)"
Antarctic Prion,Pachyptila desolata,"Procellariidae (Petrels, Shearwaters)"
Slender-billed Prion,Pachyptila belcheri,"Procellariidae (Petrels, Shearwaters)"
Fairy Prion,Pachyptila turtur,"Procellariidae (Petrels, Shearwaters)"
Kerguelen Petrel,Aphrodroma brevirostris,"Procellariidae (Petrels, Shearwaters)"
Barau's Petrel,Pterodroma baraui,"Procellariidae (Petrels, Shearwaters)"
Soft-plumaged Petrel,Pterodroma mollis,"Procellariidae (Petrels, Shearwaters)"
Atlantic Petrel,Pterodroma incerta,"Procellariidae (Petrels, Shearwaters)"
White-headed Petrel,Pterodroma lessonii,"Procellariidae (Petrels, Shearwaters)"
Great-winged Petrel,Pterodroma macroptera,"Procellariidae (Petrels, Shearwaters)"
Grey Petrel,Procellaria cinerea,"Procellariidae (Petrels, Shearwaters)"
White-chinned Petrel,Procellaria aequinoctialis,"Procellariidae (Petrels, Shearwaters)"
Spectacled Petrel,Procellaria conspicillata,"Procellariidae (Petrels, Shearwaters)"
Flesh-footed Shearwater,Ardenna carneipes,"Procellariidae (Petrels, Shearwaters)"
Scopoli's Shearwater,Calonectris diomedea,"Procellariidae (Petrels, Shearwaters)"
Cory's Shearwater,Calonectris borealis,"Procellariidae (Petrels, Shearwaters)"
Manx Shearwater,Puffinus puffinus,"Procellariidae (Petrels, Shearwaters)"
Subantarctic Shearwater,Puffinus elegans,"Procellariidae (Petrels, Shearwaters)"
South Georgia Diving-petrel,Pelecanoides georgicus,"Procellariidae (Petrels, Shearwaters)"
Common Diving-petrel,Pelecanoides urinatrix,"Procellariidae (Petrels, Shearwaters)"
