common_name,scientific_name,family
Bush Pipit,Anthus caffer,Motacillidae (Pipits and Wagtails)
Tree Pipit,Anthus trivialis,Motacillidae (Pipits and Wagtails)
Mountain Pipit,Anthus hoeschi,Motacillidae (Pipits and Wagtails)
Yellow-tufted Pipit,Anthus crenatus,Motacillidae (Pipits and Wagtails)
Striped Pipit,Anthus lineiventris,Motacillidae (Pipits and Wagtails)
Richard's Pipit,Anthus richardi,Motacillidae (Pipits and Wagtails)
Plain-backed Pipit,Anthus leucophrys,Motacillidae (Pipits and Wagtails)
African Pipit,Anthus cinnamomeus,Motacillidae (Pipits and Wagtails)
Buffy Pipit,Anthus vaalensis,Motacillidae (Pipits and Wagtails)
Long-billed Pipit,Anthus similis,Motacillidae (Pipits and Wagtails)
Cape Longclaw,Macronyx capensis,Motacillidae (Pipits and Wagtails)
Yellow-throated Longclaw,Macronyx croceus,Motacillidae (Pipits and Wagtails)
Rosy-throated Longclaw,Macronyx ameliae,Motacillidae (Pipits and Wagtails)
Yellow-breasted Pipit,Hemimacronyx chloris,Motacillidae (Pipits and Wagtails)
Mountain Wagtail,Motacilla clara,Motacillidae (Pipits and Wagtails)
Cape Wagtail,Motacilla capensis,Motacillidae (Pipits and Wagtails)
Western Yellow Wagtail,Motacilla flava,Motacillidae (Pipits and Wagtails)
African Pied Wagtail,Motacilla aguimp,Motacillidae (Pipits and Wagtails)
Forest Canary,Crithagra scotops,Fringillidae (Finches)
Black-throated Canary,Crithagra atrogularis,Fringillidae (Finches)
Lemon-breasted Canary,Crithagra citrinipectus,Fringillidae (Finches)
Yellow-fronted Canary,Crithagra mozambica,Fringillidae (Finches)
Yellow Canary,Crithagra flaviventris,Fringillidae (Finches)
Brimstone Canary,Crithagra sulphurata,Fringillidae (Finches)
White-throated Canary,Crithagra albogularis,Fringillidae (Finches)
Streaky-headed Seedeater,Crithagra gularis,Fringillidae (Finches)
Black-eared Seedeater,Crithagra mennelli,Fringillidae (Finches)
Protea Canary,Crithagra leucoptera,Fringillidae (Finches)
Cape Siskin,Crithagra totta,Fringillidae (Finches)
Drakensberg Siskin,Crithagra symonsi,Fringillidae (Finches)
Black-headed Canary,Serinus alario,Fringillidae (Finches)
Cape Canary,Serinus canicollis,Fringillidae (Finches)
Golden-breasted Bunting,Emberiza flaviventris,Emberizidae (Old World Buntings)
Cape Bunting,Emberiza capensis,Emberizidae (Old World Buntings)
Lark-like Bunting,Emberiza impetuani,Emberizidae (Old World Buntings)
Cinnamon-breasted Bunting,Emberiza tahapisi,Emberizidae (Old World Buntings)
