common_name,scientific_name,image_src
Eastern Bronze-naped Pigeon,Columba delegorguei,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2494/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Lemon Dove,Aplopelia larvata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2496/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Mourning Collared-dove,Streptopelia decipiens,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2504/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Red-eyed Dove,Streptopelia semitorquata,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2508/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Ring-necked Dove,Streptopelia capicola,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2506/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Laughing Dove,Spilopelia senegalensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2502/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Emerald-spotted Wood-dove,Turtur chalcospilos,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2529/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Blue-spotted Wood-dove,Turtur afer,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2530/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Tambourine Dove,Turtur tympanistria,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2531/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Namaqua Dove,Oena capensis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2533/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Grey-breasted Green-pigeon,Treron delalandii,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/1016920/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Namaqua Sandgrouse,Pterocles namaqua,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2960/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Yellow-throated Sandgrouse,Pterocles gutturalis,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2963/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Burchell's Sandgrouse,Pterocles burchelli,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2972/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
Double-banded Sandgrouse,Pterocles bicinctus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2968/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
European Nightjar,Caprimulgus europaeus,https://bli-prod-fd-dz-eu-bgf5eqfcf2bmgtdn.a02.azurefd.net/species/2401/thumbnail?baseUrl=https://birdlifedata.blob.core.windows.net
