common_name,scientific_name,afrikaans_name,image,family,size,habitat,colors
Grey-winged Francolin,Scleroptila afra,Bergpatrys,https://cdn.sabirds.app/grey-winged-francolin/1_medium.webp,Francolins,Large,Grassland,"['Brown', 'Grey', 'Buff']"
Ground Woodpecker,Geocolaptes olivaceus,Grondspeg,https://cdn.sabirds.app/ground-woodpecker/1_medium.webp,Woodpeckers,Medium,Rocky,"['Brown', 'Red', 'Green']"
Groundscraper Thrush,Turdus litsitsirupa,Gevlekte Lyster,https://cdn.sabirds.app/groundscraper-thrush/1_medium.webp,Thrushes,Medium,Forest,"['Brown', 'White', 'Black']"
Gull-billed Tern,Gelochelidon nilotica,Oostelike Sterretjie,https://cdn.sabirds.app/gull-billed-tern/1_medium.webp,Terns,Medium,Coastal,"['White', 'Grey', 'Black']"
Gurney's Sugarbird,Promerops gurneyi,Rooiborssuikervoël,https://cdn.sabirds.app/gurneys-sugarbird/1_medium.webp,Sugarbirds,Small,Fynbos,"['Brown', 'Red', 'Grey']"
Hadeda Ibis,Bostrychia hagedash,Hadeda,https://cdn.sabirds.app/hadeda-ibis/1_medium.webp,Ibises,Very Large,Grassland,"['Brown', 'Grey', 'Green']"
Half-collared Kingfisher,Alcedo semitorquata,Blouvisvanger,https://cdn.sabirds.app/half-collared-kingfisher/1_medium.webp,Kingfishers,Small,Wetland,"['Blue', 'Buff', 'White']"
Hamerkop,Scopus umbretta,Hamerkop,https://cdn.sabirds.app/hamerkop/1_medium.webp,Hamerkop,Large,Wetland,['Brown']
Harlequin Quail,Coturnix delegorguei,Bontkwartel,https://cdn.sabirds.app/harlequin-quail/1_medium.webp,Quails,Medium,Grassland,"['Brown', 'Black', 'White']"
Hartlaub's Gull,Chroicocephalus hartlaubii,Hartlaubse Meeu,https://cdn.sabirds.app/hartlaubs-gull/1_medium.webp,Gulls,Large,Coastal,"['Grey', 'White', 'Red']"
Helmeted Guineafowl,Numida meleagris,Gewone Tarentaal,https://cdn.sabirds.app/helmeted-guineafowl/1_medium.webp,Guineafowl,Very Large,Woodland,"['Grey', 'White', 'Blue']"
Holub's Golden Weaver,Ploceus xanthops,Goudwewer,https://cdn.sabirds.app/holubs-golden-weaver/1_medium.webp,Weavers,Small,Fynbos,"['Yellow', 'Black', 'Brown']"
Hooded Vulture,Necrosyrtes monachus,Monnikaasvoël,https://cdn.sabirds.app/hooded-vulture/1_medium.webp,Vultures,Very Large,Fynbos,"['Brown', 'Pink']"
Horus Swift,Apus horus,Horuswindswael,https://cdn.sabirds.app/horus-swift/1_medium.webp,Swifts,Small,Fynbos,"['Black', 'White']"
House Crow,Corvus splendens,Huiskraai,https://cdn.sabirds.app/house-crow/1_medium.webp,Crows,Large,Gardens,"['Black', 'Grey']"
House Sparrow,Passer domesticus,Huismossie,https://cdn.sabirds.app/house-sparrow/1_medium.webp,Sparrows,Small,Gardens,"['Brown', 'Grey', 'Black']"
