,Common name,Binomial
309,Cory's shearwater,Calonectris diomedea
310,Flesh-footed shearwater,Ardenna carneipes
311,Great shearwater,Ardenna gravis
312,Wedge-tailed shearwater,Ardenna pacifica
313,Sooty shearwater,Ardenna grisea
314,Manx shearwater,Puffinus puffinus
315,Balearic shearwater,Puffinus mauretanicus
316,Subantarctic shearwater,Puffinus elegans
317,Tropical shearwater,Puffinus bailloni
318,African openbill,Anastomus lamelligerus
319,Black stork,Ciconia nigra
320,Abdim's stork,Ciconia abdimii
321,African woolly-necked stork,Ciconia microscelis
322,White stork,Ciconia ciconia
323,Saddle-billed stork,Ephippiorhynchus senegalensis
324,Marabou stork,Leptoptilos crumenifer
325,Yellow-billed stork,Mycteria ibis
326,Lesser frigatebird,Fregata ariel
327,Great frigatebird,Fregata minor
328,Masked booby,Sula dactylatra
329,Brown booby,Sula leucogaster
330,Red-footed booby,Sula sula
331,Cape gannet,Morus capensis
332,Australasian gannet,Morus serrator
333,African darter,Anhinga rufa
334,Long-tailed cormorant,Microcarbo africanus
335,Crowned cormorant,Microcarbo coronatus
336,Bank cormorant,Phalacrocorax neglectus
337,Cape cormorant,Phalacrocorax capensis
338,Great cormorant,Phalacrocorax carbo
339,Great white pelican,Pelecanus onocrotalus
340,Pink-backed pelican,Pelecanus rufescens
341,Hamerkop,Scopus umbretta
342,Great bittern,Botaurus stellaris
343,Little bittern,Ixobrychus minutus
344,Dwarf bittern,Ixobrychus sturmii
345,Gray heron,Ardea cinerea
346,Black-headed heron,Ardea melanocephala
347,Goliath heron,Ardea goliath
348,Purple heron,Ardea purpurea
349,Great egret,Ardea alba
350,Intermediate egret,Ardea intermedia
351,Little egret,Egretta garzetta
352,Snowy egret,Egretta thula
353,Little blue heron,Egretta caerulea
354,Slaty egret,Egretta vinaceigula
355,Black heron,Egretta ardesiaca
356,Cattle egret,Bubulcus ibis
357,Squacco heron,Ardeola ralloides
358,Malagasy pond-heron,Ardeola idae
359,Rufous-bellied heron,Ardeola rufiventris
360,Striated heron,Butorides striata
361,Black-crowned night-heron,Nycticorax nycticorax
362,White-backed night-heron,Gorsachius leuconotus
363,Glossy ibis,Plegadis falcinellus
364,African sacred ibis,Threskiornis aethiopicus
365,Southern bald ibis,Geronticus calvus
366,Hadada ibis,Bostrychia hagedash
367,African spoonbill,Platalea alba
368,Secretarybird,Sagittarius serpentarius
369,Osprey,Pandion haliaetus
370,Black-winged kite,Elanus caeruleus
371,African harrier-hawk,Polyboroides typus
372,Palm-nut vulture,Gypohierax angolensis
373,Bearded vulture,Gypaetus barbatus
374,Egyptian vulture,Neophron percnopterus
375,European honey-buzzard,Pernis apivorus
376,Oriental honey-buzzard,Pernis ptilorhynchus
377,African cuckoo-hawk,Aviceda cuculoides
378,White-headed vulture,Trigonoceps occipitalis
379,Lappet-faced vulture,Torgos tracheliotos
380,Hooded vulture,Necrosyrtes monachus
381,White-backed vulture,Gyps africanus
382,Rüppell's griffon,Gyps rueppelli
383,Cape griffon,Gyps coprotheres
384,Bateleur,Terathopius ecaudatus
385,Black-chested snake-eagle,Circaetus pectoralis
386,Brown snake-eagle,Circaetus cinereus
387,Fasciated snake-eagle,Circaetus fasciolatus
388,Banded snake-eagle,Circaetus cinerascens
389,Bat hawk,Macheiramphus alcinus
390,Crowned eagle,Stephanoaetus coronatus
391,Martial eagle,Polemaetus bellicosus
392,Long-crested eagle,Lophaetus occipitalis
393,Lesser spotted eagle,Clanga pomarina
394,Wahlberg's eagle,Hieraaetus wahlbergi
395,Booted eagle,Hieraaetus pennatus
396,Ayres's hawk-eagle,Hieraaetus ayresii
397,Tawny eagle,Aquila rapax
398,Steppe eagle,Aquila nipalensis
399,Verreaux's eagle,Aquila verreauxii
400,African hawk-eagle,Aquila spilogaster
401,Lizard buzzard,Kaupifalco monogrammicus
402,Dark chanting-goshawk,Melierax metabates
403,Pale chanting-goshawk,Melierax canorus
404,Gabar goshawk,Micronisus gabar
405,Eurasian marsh-harrier,Circus aeruginosus
406,African marsh-harrier,Circus ranivorus
407,Black harrier,Circus maurus
